弹幕内容
算了吧，外滩只有人看，没人。
竟然可以让跑摩托车
日本不是没有首都吗?
七连连长？
我也姓曾
待机
17年考古，那我24年不是可以考你了
中文确实不错
美作
还是用战火吧
大吉大利今晚吃鸡
从2024、3、8 回到从前
好快
父族是中国人架不住他成长主要在日本啊 还在这扯父系民族认同呢
“还是母族”真的好逗 母族是基因比父族少吗大哥 
大日本
魔漫相机
2024年3月回来考古，一眨眼我住8年了，这时候的东东好年轻啊。。。
重来一遍？
福建人到日本祈福还行
吸好运 进面上岸
哈哈哈哈哈
斯高一
2024前来考古
导演的口音很日系啊
好老实哈哈哈哈哈
牛屁
曾哥！
浅草小子
2024年2月19日来考古
冬冬
亚撒西qwq
一有漫画风格，就不要问像不像了
2024来考古
2024
像王阳
哈哈哈哈
日本无首都
为什么我想的是巨人
去看看茨姆吧
但是挺可爱的
这个我忽然觉得我家孩子也能做啊
哈哈哈哈哈哈哈哈哈哈哈哈哈
你们我你咋知道她回去了，有账号吗
这不是陈宝拉吗
浅草小子
这么画不会被打呢
嗨~嗨嗨~嗨
我卖烧烤的
哇！！！！！
这不得尘肺病。。。
驰骑
绷不住了你幸福吗
一笔成画我都达不到
毕竟每个人没有完美的运气，也没有百分之百的运气
大吉，即便是大吉也需要小心吧
老乡
移民以后从此幸福一生
瞳孔地震
哈哈哈哈哈哈哈哈哈哈
不穿和服哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2024年1月
这不是泸沽湖那个猴儿吗（doge）
北野武和志村建有过电梯短剧
福建那个也好帅
东东82年的
东东是演员啊
回去做？ 價錢差那麼多！為啥要回去
哈哈哈哈
2024年1月5日凌晨零点32分前来考古
李冬冬
恭喜你发现宝藏纪录片，还有宝藏亮叔
我感觉我见过这个人画的
哈哈哈哈哈哈哈
日文5元等于有缘 从叶子老师那里知道的哈哈哈哈哈
2024年1月1日前来考古
北野武不是擅长暴力美学么？
好有寓意
23年12月来考古
旅行途中，油断
哼哈二将，门神，那罗沿金刚，力拓金刚
绘画专用手套
画的好可爱啊
他是中日混血
美作！！！！
我从新疆来我到新疆去纪录片类似
新宿事件
返回在浪一圈
云南
美作！！！
哈哈哈哈真的很像
有感觉哎
义正言辞
啊哈哈哈不穿和服
哈哈哈哈哈哈ng
我抽到的是第15吉
哈哈哈哈哈反转
居然不剪掉 笑死
吸吸欧气
空气香甜是吧
她不是中国人
香不要钱吗
两毛五祈福？
下意识打算说国内来的，哈哈哈
23年第一次看这个
看过，又重新来刷
家门
日本鬼子文化输出
好漂亮
202304013前来考古
房子
导演NG自己一次
沈阳姓曾的很少
2016就考古了？这让再一个月就2024年的我情何以堪
别人肯定认识他，知道是节目组在做视频
有病吧。人家说在北京工作，搓到你肺管子了？
甘肃人哎，老乡
我在浅草寺抽到了凶，2015年的时候
梦开始的地方
从再会长江来的
好糊啊
第三季回来看的
哦豁  日本好像没有首都
一眼大开门 是中国人
恭喜你发现宝藏
哈哈哈哈哈
搞里头
长得就像日本人
《浅草妖姬》
什么神奇名字
只有四分之一日血，还是母族，基本就是中国人
我看到ducati
2023年10月19日前来考古
接好运
北野武就是gagman 呀 后来才当导演
我第一把就是凶
中日怎么不是混血，特征上就有比较大的差别
浅草小子
同姓
很勇啊，漫画家去日本
亮叔和东东哥已经成为黄金搭档了
寺是和尚住的地方，庙是供奉神仙的地方，佛教和道教场所，不一样的
我也是沈阳人
转眼八年了
我抽了个凶，回来就辞职了，哈哈哈哈哈
确实没眼睛
真的一镜到底哈哈
北野武招牌式的抽笑画风
确实学到我们文化的精髓
谜一样的画质
不说话根本不知道你哪里的
这不八大处嘛。。。。简直一样一样的。。。。
呱唧呱唧
我去，真的厉害啊
中日也算混血吗
浅草寺
福建人普通话这么好？
坐船来的
没想到你是这样的美作
我也沈阳的。哇
我住在这里的理由 第一季
我2019年夏天去的这里
明码标价吗
大帝很帅的好嘛……
5福？？？
字义都差不多，只是读音不一样
5月份刚去过，好怀念
我发现我以前看过
日本人不知道信不信，但中国人大多都是讨个好彩头，图个吉利，不是真的信。
《大逃杀之杀了又杀》
2023年8月16日路过，才发现第一集原来是19年拍摄的
国内有些寺庙50元人家都嫌你给的少
俺也沈阳的
看来我要熬夜了。。
原来是冬冬
他冬冬吗
考古
卧槽。我儿子呢！ 好乖
哈哈哈哈
你怎么没跟竹导一起拍长江纪录片了
哈哈哈哈
哈哈哈哈哈
想到了浅草社
让活页净化一千！
好家伙，老乡
我还以为守望先锋的背景音乐
茨姆呢
跟中国的香不一样诶
好像在看老电视
冬冬好帅
强调在北京工作 所以才没说自己是湖建人[doge]
阿部力自己就是中日混血 他外婆日本人 
日本没有首都 东京不是首都
现在看他真的是里面最帅的
我们这边投香火钱，不限，每次爸妈都各投100，我……… 为什么要那么多 ，统一规定不好吗？
1/4血统是日本
槽卡哇伊
wwww
来过这个地方，怀念呜呜呜
在家用电脑画画儿哈哈哈哈
从疫情到凉山纪录片来的，导演好棒啊
美作！！！
哈哈哈哈哈哈哈哈哈哈哈
哈哈哈
上海城隍庙的画师也这个风格
这个大眼睛姑娘长得好像我姐啊哈哈哈
什么漫画18+的那种？
重来可还行
恭喜吉大
胡建人是真的喜欢拜拜，哈哈，走到哪就要拜到哪
日本没首都吧
曾轶可的曾
日本没有首都
浅草寺凶签概率贼高。。。去的时候抽到个凶。。。
曾幸福的曾
丢的钱 晚上都被僧侣拿出去花了
明明轮廓变形表情夸张但就是很像很传神，到底是哪个重点画出来了才这样啊？
又快又好看，特征很鲜明
十八就不吉祥了
这里能想起之前跟着美术老师女儿学画漫画的日子，很短暂但是很快乐
原来精英律师里面冬冬的爸爸就是你！
这香火好啊，100日元等于6块算一次命
不认识才怪了
北野武可以靠才华但是非得去搞笑
浅草江户时代是红灯区吧
日本没首都来着
日本好像没有所谓的首都
中国的东北人会回答到省或者市。这是假东北人
这个福建人不对劲鸭
北野武为什么成了搞笑艺人
重庆火锅！
油断意思是旅行车会没有油
好可爱呀
能在浅草寺抽出大吉，牛啊
浅草有鬼出没
夜斗：你的愿望我听到了！
黄一琳是平面模特
23333
艺术家就是不一样
真像啊
果然都是汉文化圈
笑死了
帅？
和本乡奏多有点像
在这求过
胡建人
吼吼
啊，好厉害
哈哈哈哈哈哈哈哈
我乱逛到过的地方
这就是纪录片吗，追求的就是真实，一镜到底
卡面来豆
沈阳人恋寒！
人都挺多的
八宝找钱
说人像西安人都行啊
821102
日本女孩子好乖哦！
公务员上岸 过英语四级
厉害
字认识但是大部分理解可不是你想象的意思！
嗯……他们日本的女生看到好看的人真的会这么叫吗……
外滩摆摊？？？不怕死的就摆
我去，跟中国一个女明星很像啊
2023年4月22日前来考古
这个时候还很
你们在景区没见过画漫画的吗  一副十五块二十块…
画质太差啦
哪里帅啊
哈哈哈哈哈哈
2023，4，15
这个画质。。。。。
沈阳有两家似颜绘哦 画的也很不错的哦
好像他自己啊
我去过这里哎，也画了一副
兰州老乡
这个声音只在那些片子听过。
这是真大佬
日本现在有首都吗
我以为我左耳聋了
PM2.5警告
没排队
耳机怎么怪怪的
广东人狂喜，有野生福建人
哈哈哈哈哈哈
有字幕就更好了
东北人讲究 认祖归宗
2023年3月19号，大连海事大学
他好像不开森了哈哈
爆笑
林更新
特点抓得很准，
‘；’
这么多期吓到我了
竹内亮和赵萍已经厉害啦
有点像陈乔恩
果然兰州的哈哈哈哈哈哈哈
这两个兰州的吧？？？口音？？
又来重头开始看
23年考古
看过花样男子
我抽十次能有八次大凶
好了，到此结束
然后钥匙丢了
如果我以后有自由，我想为你工作
2023考古 再见长江  过来
梦回第一季
运镜画面出现拉丝
好糊啊
哈哈哈哈哈
不知道7上8下么。其实8没那么好。最少在山东就没那么好。
浅草妖姬
我出生在兰州，籍贯上海浦东。
6
2023大吉
我在上海江苏看到好多这样的，古镇里都有
咱就说为啥我黑屏？
杜卡迪
自助式求签？
为什么还不剪掉 哈哈
是驰骑嘛后面
日本没有首都
听着就是兰州口音
姐姐的手是怎么了、受伤了吗？
我在这里买了件忍者衣服居然是中国产。。。。
很推荐的纪录片，很喜欢！
我感兴趣啊
虽然我不迷信 可是我很喜欢焚香的感觉和味道
天皇在哪哪就是首都
东北的口音
狗子
哈哈哈哈哈，这种在中国的片子里应该看不到吧
过年的时候去清水寺看看
四分之一日本血统
道中，油断..... 路上没油，小心！
好厉害呀
哈哈哈哈
阿部力外婆是日本人
这画面好模糊啊。
最近惨了，疫情没法出国。估计日本旅游业也受重创
不是阿部宽？
画的很像，又有特色
哈哈哈，没剪
不用上班吗
在日本工作的全他么东北人。。
别说还真有点像
这女的真典
我当初在这抽到的还一直放在我钱包里，11年了
你幸福吗？我姓曾
公务员上岸
气突苏
牛肉面在线
我在浅草寺求过，抽到了凶
小姐姐是回沈阳开店了吗
我家门儿
其实日本没有法定的首都……
恭喜发现宝藏
日语老师的推荐
岁月是把杀猪刀，才五年阿部力在第四季里桑老太多
1080 P怎么也这么糊？
懒的剪4
曾国藩
上海好多画这种的 十块钱一个人
饭圈
饭圈。。。。
冷知识：日本没有首都
中国也有
hhhhh \
阿部力当年好帅
嗨嗨嗨
日本哪有首都
乌龙派出所
2022年11月20号前来考古
真有点像林更新
恭喜你发现宝藏
吸吸吸吸吸
画成穿汉服的
好糊
88凶
日本有首都么
哈哈哈哈哈哈哈哈
很快诶
F4来啦
发型完美融入
2022年从看一bian！！
谁在说话
北野武之前是漫才的
没有字幕吗
还是喜欢看第一季
犯下的罪恶靠香火是净化不了的
教资biguo
你倒是剪掉啊 啊喂
哈哈哈哈哈哈
从方雯那里过来的。
只有李梅烧烤能净化日本人
东京是不是日本首都还存在争议
对啊，只有日本和中国非常接近，韩国棒子不可同日而语
这女的说话，腰一直往后弯。扯西西的
啊啊啊啊浅草沉钟社！！
我好像隔着屏幕闻到了烟味
北野武早年确实是讲相声的
抽到凶就烧了庙～
你好我是广东人，晚饭一起嘛～
你们这边老爷们 老娘们 把钱带出国 看小姑娘如何又给带回来
这脸型有点像浩二
哈吉 
大半夜三刷
不知道中国寺庙有没有这么多人来参观
帽子夹腿上就很真实
小心尘肺病
小心手，站上风口比较好
233333
这钩子不错
画质真的很古早
黑龙江就这口音，基本和普通话没区别，放缓就听不出了。
请问您贵姓？免贵姓曾
我是广东人
真的日本迷妹对帅的概念…真有点，不敢恭维
东京可不是日本的首都，日本这个国家没有首都
很像
东东牛逼
日语so的字源
日本版《花样男子》真的好看
长得就很中国人！
这画质挺行
小狗又出现
fa♂
我真的看的是1080p吗
本来就是搞笑艺人啊
ご縁
我也抽到了大吉！！！
生异形吗（幻听）
这画质怎么。。
东北人全世界到处流窜
原作 石森章太郎
我看的时候第三季有100集了
2022 7 30   三刷
真nm，日本人又不是坏的，军国主义才是坏的，这年头还有小学生以一概全？
我记得日本的寺庙里面没有佛像，没有实体的
日本没用法定的首都，天皇住的地方就是首都，所以大体上首都还是东京，但严格意义上是没有的（来自日本同学的科普）
哈哈哈哈哈哈哈
移民那年我出生。
北野武漫谈出身啊
马德我们山上买香都是30打底
兰州，我的家长！
兰州，我的家长！
兰州人，家乡人！
好逼真
梦开始的地方
梦开始的地方
梦开始的地方
梦开始的地方
冷知识：东京不是首都，有关首都的立法已被废除，日本没有首都
他是演员呐
哈哈哈好随性名字忘记了
heiheihei
吸一吸
老乡！
腌制入味
这个中文太好了
搞笑艺人？
但是是在日本她才出名的啊
我就服画画好看的，我的手怎么都不会画
画风好眼熟啊
在中国都没去过寺庙…………
姥姥是日本人，那妈妈是日本人吗
东北人啊他是
驰骑
还是第一季好看
这福建人竟然会说F
画的好可爱
很传神
又是秀狗时间
好文艺的名字
好厉害！
发发发
漂亮
阿两老家
前面像林狗那个，别走。我表示深有同感！
500年是一家人
他姥姥应该是屯垦东北的日本人把
哈哈哈好像，神似太可爱啦
所以这是老黄历上撕下来的吧
所以这画质怎么回事，还有波纹特效？
日本庙是不是继承了大唐文化
好像胡歌啊
花样美男里的东北黑社会混血
我们这儿也是这样的
巧了
我去的时候听说门口的俩大号灯笼也是人家还愿贡的，据说是真的灵
哈哈哈哈哈ちゃんと打个招呼
妹子好好看
沈阳老乡
母八嘎
热
（名字忘问了）
全损画质
用的什么相机
日本没有首都
史宾格
恭喜你发现宝藏
真剑蓝？
全天下都一样的奇葩
我说这不是我，她说这就是我
这是哪一年
差点以为潘粤明
东京啥时候成日本首都了，就这句，我果断关闭
奇怪的女人
她是不是在沈阳1905开店了
2022上海 别回
祝我高考成功
我就是看了这个花了800rmb画了一张
兰州人！！！
这个姐姐好漂亮
后来真回去
男左女右
[ohhhhhhhhhh]
越看越觉得像林更新
哈哈哈哈哈哈哈
不够房租钱
我们福建有普通话这么好的？
虎与龙
外婆 他妈妈有日本血统
好可爱呀
你本来就没有hhhhh
哈哈哈哈哈哈哈
骑摩托车久了这声叹息很真实
有缘
小姐姐回国了，在沈阳搞了个工作室
哈哈哈哈哈哈哈哈哈不穿和服哈哈哈哈哈哈哈
不穿衣服
哈哈哈哈
哈哈哈哈
真的是美作吗？！
姥姥是日本人
阿部力
神樱那里天天求签
给中国的易经抽签大同小异吧，哈哈
就是通过香味中和空气中的病菌   其实过年放鞭炮烟花都是有科学道理的
哈哈哈哈哈哈
搞笑艺人排在导演前面？！！
高级的香是用各种香料制作而成，确实有净化身心的作用。
全是雾霾
第一集  开门红
ここに住んでいる理由
哈哈哈哈哈哈
日本不是没有首都吗
非正来的
啊啊啊原来是
花痴不分国界
赵萍是竹内亮导演的妻子
新疆长得那么好看
看蜡笔小新记得这个地方
2021年五一
并没有福建口音
2022。5。1居然挖到古墓了
你是美作铃
美作啊
咳咳咳
高城连长
竹内亮哈哈哈！
我也是
老乡！
导演这个中文日文混杂，哈哈
100集……………
哇 竹内亮导演的诶！
花样男子！！！
美作啊
20220421第一次拜访哈哈哈哈哈
浅草抽出来的大多不错哈哈哈
曾小贤的曾
胡建人在这里
あちらの方
何人いるですか
中国の漫画家がいるということです
次は中国人の漫画家の家に行きます
油断
全部いい
おめてとうございます
ぶらんこ
五円
。首都
东京城隍庙
？我去，还是老乡哈哈哈哈哈
怎么只有右声道了
好糊
补课
笑死我了，ちゃんと打个招呼してくださいhhhh
20220404~
为什么我现在才发现宝藏。
我曹阿布力是东北人么？？？？
哈哈哈哈哈哈哈哈
2022年3月底前来考古
可爱！
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
恭喜！！！
前面的留点口德，不要随意评价他人外貌
二刷，梦开始的地方
沾沾欧气
1080P还那么重的马赛克？？？
口罩时代回看好感慨
2022年3月26日前来考古
好啊
姓曾的挺少的，所以我出来打字了
开拓团遗孤遍布东北 我同学的姥姥也是 
画质感人
我耳机没问题吧？
小姑娘好可爱www
有点像韩庚
才发现是亮叔导的
北野武脱口秀出生的
我就是抽到凶的那个 哭了
画的好好啊
就说为啥阿部力这个名字这么熟悉
日版F4的美作是个中日混血？？我竟然才发现……
这时候好青涩
你居然不认识他！
画质感人
曾能混
好像
22年考古
五刷
大吉！
哈哈哈懒得剪了
几世啊？
后面回访了，真的回去开了一家店
大家请记住，后面要考
反复刷
在这里画过像，没想到还有中国画师啊
2022前来考古
哈哈哈，刚刚还以为说的吴语呢
福建人举手
哈哈哈哈哈我觉得最左的妹妹有点像朴智星
美作
会内卷
画质感人
梦开始的地方
中国人太善良了 等鬼子露出真面目都会傻眼
不愧是亲西方的地方，形象抹黑
哈哈哈
哈哈哈哈
事业有成，父母安康
美作玲！是你！！！
东东我爱你
PM10都很高了
阿部力唉！
对呀，北野武以前不是说漫才的吗？
真喜热。。。
《讲究》
我以为是胡建人。。。
中国人现在喜欢7
好听
请收下我的膝盖
6周年成都
6周年成都
骑上我心爱的小摩托
哈哈哈哈哈哈哈哈哈
美作！
哈哈哈哈哈哈哈哈哈
亮叔中文現在好太多了
明天粉絲見面會 今天重看
加油！！！！！
美作玲
好可爱啊
一齐啜
小城市没有生意的，需要去真正富有的地方
只能说抓住了灵魂
好厉害呀
也是
夜斗来活儿了
好迷惑
力也是混血
哈哈哈哈哈
哈哈哈哈
对美作
哇！！阿部力
快乐驿站
好好听的名字
好可爱
男生本来就没眼睛了，哈哈
恭喜恭喜
都一样，大致相同
好巧啊，我也没眼睛
长得很像阿部
尘肺病警告
杜卡迪
你这种要付三倍的 因为狗子太可爱无法专心画
名字忘问笑死了
哈哈哈哈哈哈哈哈哈哈哈哈
看完57回来看 觉得有意思
我也姓曾，我也画画
恭喜!蹭蹭!
果然全世界的花痴都一样
哈哈
姥姥是外婆
花样男子啊
战术后仰
我是擦玻璃
我擦玻璃
不幸福？
这就帅了？好像韩国人看到中国街小吃一样
摩托车我喜欢
很像的啊
抽签不给钱吗
不像 中国都是高香 越来越大只
没有土气粗壮的高香
因为这香我光整条街都头疼
店老板：好家伙来挖人
今年脱单
哈哈哈
大吉，八
我无意翻到的因为汉服和故宫
这不是手撕鬼子剧音乐吗
好配合。。。
穿越回来告诉你们，疫情期间这里已经没人了
跟印度差不多
说为什么不不在中国画的，脑子没病吧
倒回来看帽子放哪了哈哈哈
  哈哈哈哈
好像某个明星诶
去日本第一站就是浅草
你插队了，哈哈
国内景点多得很画这种漫画的
愿意来日本的，多数都还是认可日本优点的人，偏客观
这门生意果然全世界景点都有
印度行为
沈阳人报到！
日本是没有首都的，他们之前一直都是天皇住在哪里哪里就是首都，没有在法律上明确规定
男的像提灯哥
北野武以前在浅草说相声出道的
20211023首刷
为什么这个福建人没有口音哈哈哈
我感觉我都看懂日文了
好多金发碧眼的
我是来考古的！！
笑死
天哪，我看过这版哈哈
净化？算了吧，日本人的灵魂能净化的了吗
完全是日本的发型
北野武在笑？
薇薇？
好好笑
妈耶，看的我鼻炎都犯了
好帅啊啊啊
迷妹
不懂就别瞎说
笑死我了
杜卡迪
美作玲
吸
8是大吉 和我抽到的一模一样的签
严格来说中日不算混血吧  人种分类都一样
日本的首都就是东京
没有中国人学校吗？
考古
前来考古
65-
"65-m,.\"
噗呲23333333
东京不太热
迪士尼小镇也有
北野武导演与浅草缘分不浅哦
这好像那只被蜜蜂扎了的狗
什么画质啊，痛苦。
名字忘问了还特地标出来哈哈哈哈哈
（慢吞吞靠近）哈哈哈哈哈
笑死了居然不剪掉
重温一遍
曾阿牛
哈哈哈哈哈
很好
冬冬
冬冬
第一集的画质是这样的呀
吸吸吸
中文
再来一遍
北野武，原来是搞笑艺人吗
好啊
发
好啊
东北
牛逼
好啊
请问怎样能让画质变好点，看的眼都花了
为什么是五日元：因为5元的发音跟缘的发音相像，求吉利
上海外滩 一副25块是吗 饿死了露宿接头
呃，别炫耀你们那点知识了，人家就当首都不行吗
浅草盛出凶签，我就中过“大奖”，所以以后都不在这里求签
有钱人
结果一年后肺癌晚期
像赵丽颖
吸吸欧气
真好真好
日本没首都啊喂
这人喜寒怕热
画好可爱呀
姥姥是外婆
这个是故事刊画风
呜呜呜呜冬冬感同身受了
美作！
恭喜你发现宝藏
被搭讪了
本来就没哈哈哈
这东北口音爱了
这个画质不行
外滩赚不到钱
来啦
美作玲啊呜呜呜呜
吸一吸
 哎呀，儿子好！
竹内亮哈哈哈哈
尊贵的杜卡迪车主
为什么穿豹纹的衣服啊
笑死我了哈哈哈哈哈
支持亮叔
毕竟你要是求签都不投钱给神明也不会灵
关键能抓住神韵
21.8.15
老乡啊
阿部力是中日混血
哈哈哈哈哈哈哈
画成李诞了
怀念冬冬
《净化》
泸沽湖
啊亮叔2021年也在这里
好名字
特征抓得好
哈哈哈哈哈哈哈哈哈哈哈
好家伙
大吉大利今晚吃鸡
哈哈哈哈哈哈哈这个时候的口音还很重
好好看的画
天啊100集我怕了
这个画风很可爱呀
20210809考古
日本有首都？？？？？？？？？
贫血都能看出来
2021年8月6日考古
日本首都不是东京？
我佛不渡穷B
家门呀
哇哇哇
我眼泪被熏出来了
导演:这叫一镜到底
八嘎呀路
好像韩寒
日本有首都？？？？
我記得阿部力（冬冬）是中日混血
美作？！
画质感人
好喜欢这样的！
发
我在这抽的1大吉
唯独不旺你哈哈哈
我也抽到大吉！
脱单脱单脱单
诶~
日本不是没首都吗
从头再刷一遍21.7.19
怎么是这种画质
好糊噢
全都很好，就是旅行要小心
迷龙加1
京都浅草一定要去的
睫毛可爱
老乡
你的愿望吾收到了!
